SEQUENCE_ID	BLAST_KEYS	PFAM_KEYS	PROSITE_KEYS	Associated Pathway	Comments	
ABO11122	"IS91 family transposase, partial [Escherichia coli]"	Y2_Tnp	NULL	NULL	NULL	
ABO11124	"transposase, partial [Acinetobacter baumannii]"	DDE_Tnp_1	NULL	NULL	NULL	
ABO11125	transposase [Acinetobacter baumannii]	null	NULL	NULL	NULL	
ABO11128	hypothetical protein [Acinetobacter baumannii]	BolA	NULL	NULL	NULL	
ABO11136	hypothetical protein [Acinetobacter baumannii]	Phenol_MetA_deg	NULL	NULL	NULL	
ABO11145	peptidase C13 [Acinetobacter baumannii]	Peptidase_C13	NULL	NULL	NULL	
ABO11146	"peptidase C13 family protein, partial [Acinetobacter baumannii]"	null	NULL	NULL	NULL	
ABO11150	hydrolase [Acinetobacter baumannii]	Hydrolase_3	NULL	NULL	NULL	
ABO11152	copper resistance protein B [Acinetobacter baumannii]	CopB	NULL	NULL	NULL	
ABO10810	"bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [Acinetobacter baumannii]"	Ubie_methyltran	SAM_MT_UBIE;UBIE_1;UBIE_2	menaquinone biosynthesis.	NULL	
ABO10814	exonuclease V subunit gamma [Acinetobacter baumannii]	Exonuc_V_gamma	NULL	DNA modification	"This family of exonucleases represents an operon that controls the expression of exonuclease V, an enzyme that trims the ends of DNA"	
ABO10815	exonuclease V subunit gamma [Acinetobacter baumannii]	null	NULL	NULL	NULL	
ABO10816	exonuclease V subunit beta [Acinetobacter baumannii]	UvrD-helicase	NULL	NULL	NULL	
ABO10817	exonuclease V subunit beta [Acinetobacter baumannii]	UvrD_C	UVRD_HELICASE_ATP_BIND;UVRD_HELICASE_CTER	NULL	NULL	
ABO11176	hypothetical protein [Acinetobacter baumannii]	DUF1852	NULL	NULL	NULL	
ABO10820	MULTISPECIES: 30S ribosomal protein S15 [Acinetobacter]	Ribosomal_S15	RIBOSOMAL_S15	NULL	NULL	
ABO10834	apolipoprotein N-acyltransferase [Acinetobacter baumannii]	null	NULL	NULL	NULL	
ABO10836	sulfurtransferase TusA [Acinetobacter baumannii]	TusA	UPF0033	NULL	NULL	
ABO10837	electron transfer flavoprotein-ubiquinone oxidoreductase [Acinetobacter baumannii]	FAD_binding_2	NULL	NULL	NULL	
ABO11179	TetR family transcriptional regulator [Acinetobacter baumannii]	TetR_N	HTH_TETR_2	NULL	NULL	
ABO11181	darcynin [Acinetobacter baumannii]	Darcynin	NULL	NULL	NULL	
ABO11185	hypothetical protein [Acinetobacter baumannii]	null	TUBULIN;EF_HAND_1	NULL	NULL	
ABO11191	GGDEF domain-containing protein [Acinetobacter baumannii]	GGDEF	GGDEF	NULL	NULL	
ABO11192	NADH-quinone oxidoreductase subunit A [Acinetobacter baumannii]	Oxidored_q4	NULL	NULL	NULL	
ABO10513	"recombinase, partial [Acinetobacter baumannii]"	Phage_integrase	NULL	Recombination of exogeneous DNA into genome	Recombinase is important to antibiotic resistance since it allows genes that confer drug resistance to be integrated into the bacterial genome.	
ABO10514	NADPH-dependent oxidoreductase [Acinetobacter baumannii]	FMN_red	NULL	NULL	NULL	
ABO10515	peptidylprolyl isomerase [Acinetobacter baumannii]	FKBP_C	FKBP_PPIASE	peptidyl-prolyl cis-trans isomerase activity	NULL	
ABO10844	DNA gyrase inhibitor YacG [Acinetobacter baumannii]	YacG	NULL	"DNA replication - gyrase is needed for dna replication, it relieves supercoiling stress and allows helicase to unwind dsDNA."	"DNA gyrase is a protein targeted by many antibiotics. If YacG were overexpressed, DNA replication would be inhibited."	
ABO10843	null	null	NULL	NULL	NULL	
ABO10847	aldehyde-activating protein [Acinetobacter baumannii]	GFA	NULL	NULL	NULL	
ABO10849	HopJ type III effector protein [Acinetobacter baumannii]	HopJ	NULL	NULL	NULL	
ABO10850	50S ribosomal protein L31 [Acinetobacter baumannii]	Ribosomal_L31	RIBOSOMAL_L31	NULL	NULL	
ABO10859	long-chain-acyl-CoA synthetase [Acinetobacter baumannii]	AMP-binding	AMP_BINDING	NULL	NULL	
ABO11206	cold-shock protein [Acinetobacter baumannii]	CSD	NULL	Altered gene expression during temperature stress	CSPs allow survival in temperature stress. The protein changes gene expression in the bacteria when they experience changes in temperature. They are important in the survival of A. baumannii even though they don't confer drug resistance.	
ABO11207	calcium-binding protein [Acinetobacter baumannii]	Excalibur	NULL	NULL	NULL	
ABO11212	aminoacetone oxidase family FAD-binding enzyme [Acinetobacter baumannii]	HI0933_like	NULL	NULL	NULL	
ABO10871	LysR family transcriptional regulator [Acinetobacter baumannii]	LysR_substrate	HTH_LYSR	NULL	NULL	
ABO10873	3-isopropylmalate dehydratase small subunit [Acinetobacter baumannii]	Aconitase_C	NULL	NULL	NULL	
ABO10874	hypothetical protein [Acinetobacter baumannii]	null	NULL	NULL	NULL	
ABO10876	MULTISPECIES: translation initiation factor IF-1 [Acinetobacter]	eIF-1a	S1_IF1_TYPE	NULL	NULL	
ABO10882	aspartate-semialdehyde dehydrogenase [Acinetobacter baumannii]	Semialdhyde_dhC	ASD	NULL	NULL	
ABO11563	"NAD(P)/FAD-dependent oxidoreductase, partial [Acinetobacter baumannii]"	Pyr_redox_3	NULL	NULL	NULL	
ABO11564	NAD(P)/FAD-dependent oxidoreductase [Acinetobacter baumannii]	null	NULL	NULL	NULL	
ABO11565	NCS2 family permease [Acinetobacter baumannii]	Xan_ur_permease	NULL	Putative uracil transport protein	NULL	
