SEQUENCE_ID	BLAST_KEYS	PFAM_KEYS	PROSITE_KEYS
ABO11055	thioredoxin [Acinetobacter pittii]	Thioredoxin	THIOREDOXIN_2;THIOREDOXIN_1
ABO11058	tRNA(Ile)-lysidine synthetase [Acinetobacter baumannii]	ATP_bind_3	NULL
ABO10699	MULTISPECIES: hypothetical protein [Acinetobacter]	null	NULL
ABO10707	transcriptional regulator [Acinetobacter baumannii]	HTH_8	SIGMA54_INTERACT_4;SIGMA54_INTERACT_3
ABO10708	DNA-binding response regulator [Acinetobacter pittii]	Sigma54_activat	SIGMA54_INTERACT_4;SIGMA54_INTERACT_2
ABO10709	sigma-54-dependent Fis family transcriptional regulator, partial [Acinetobacter baumannii]	Response_reg	RESPONSE_REGULATORY
ABO11069	MULTISPECIES: anti-sigma factor antagonist [Acinetobacter calcoaceticus/baumannii complex]	STAS	STAS
ABO10733	argininosuccinate lyase, partial [Acinetobacter baumannii]	null	NULL
ABO10734	MULTISPECIES: argininosuccinate lyase [Acinetobacter calcoaceticus/baumannii complex]	Lyase_1	FUMARATE_LYASES
ABO10739	hypothetical protein, partial [Acinetobacter baumannii]	null	NULL
ABO10740	hypothetical protein [Acinetobacter baumannii]	null	NULL
ABO11085	DNA polymerase V [Acinetobacter sp. 243_ASPC]	Peptidase_S24	NULL
ABO10743	MULTISPECIES: DNA-binding protein [Acinetobacter]	Histone_HNS	NULL
ABO10744	general secretion pathway protein [Acinetobacter baumannii]	T2SSN	NULL
ABO10756	50S ribosomal protein L7/L12 [Acinetobacter baumannii]	Ribosomal_L12	NULL
ABO11097	hypothetical protein [Acinetobacter pittii]	SNase	TNASE_3;TNASE_1
ABO11101	ferrous iron transport protein A [Acinetobacter sp. Ver3]	FeoA	NULL
ABO11102	ferrous iron transporter B [Acinetobacter sp. neg1]	FeoB_N	G_FEOB
ABO11105	MULTISPECIES: hypothetical protein [Acinetobacter calcoaceticus/baumannii complex]	null	NULL
ABO10768	MerR family transcriptional regulator [Acinetobacter baumannii]	MerR_1	HTH_MERR_2
ABO10769	signal peptide-containing protein [Acinetobacter baumannii]	Ser_hydrolase	NULL
ABO10772	MULTISPECIES: histidine kinase [Acinetobacter]	HATPase_c_3	NULL
ABO10778	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [Acinetobacter sp. 1396970]	CDP-OH_P_transf	CDP_ALCOHOL_P_TRANSF
ABO11108	protein TniQ [Acinetobacter baumannii]	TniQ	NULL
ABO11109	transposase [Acinetobacter baumannii]	TniB	NULL
ABO11111	null	null	NULL
ABO11115	MULTISPECIES: P-type conjugative transfer protein TrbL [Proteobacteria]	TrbL	NULL
ABO11117	arsenical-resistance protein [Pseudomonas putida]	SBF	NULL
ABO11118	hypothetical protein [Stenotrophomonas maltophilia]	null	NULL
ABO11121	transposase, partial [Escherichia coli]	Zn_Tnp_IS91	NULL
ABO11122	IS91 family transposase [Acinetobacter baumannii]	Y2_Tnp	NULL
ABO11124	IS4 family transposase, partial [Acinetobacter baumannii]	DDE_Tnp_1	NULL
ABO11125	transposase [Acinetobacter baumannii]	null	NULL
ABO11128	MULTISPECIES: hypothetical protein [Acinetobacter]	BolA	NULL
ABO11136	hypothetical protein [Acinetobacter seifertii]	Phenol_MetA_deg	NULL
ABO11145	peptidase C13 family protein [Acinetobacter baumannii]	Peptidase_C13	NULL
ABO11146	peptidase C13 family protein [Acinetobacter baumannii]	null	NULL
ABO11150	hydrolase [Acinetobacter baumannii]	Hydrolase_3	NULL
ABO11152	copper resistance protein B [Acinetobacter baumannii]	CopB	NULL
ABO10810	bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [Acinetobacter baumannii]	Ubie_methyltran	SAM_MT_UBIE;UBIE_1;UBIE_2
ABO10814	exonuclease V subunit gamma [Acinetobacter baumannii]	Exonuc_V_gamma	NULL
ABO10815	exonuclease V subunit gamma [Acinetobacter calcoaceticus]	null	NULL
ABO10816	exonuclease V subunit beta [Acinetobacter baumannii]	UvrD-helicase	NULL
ABO10817	exonuclease V subunit beta [Acinetobacter baumannii]	UvrD_C	UVRD_HELICASE_ATP_BIND;UVRD_HELICASE_CTER
ABO11176	hypothetical protein [Acinetobacter nosocomialis]	DUF1852	NULL
ABO10820	30S ribosomal protein S15 [Acinetobacter sp. ANC 4558]	Ribosomal_S15	RIBOSOMAL_S15
ABO10834	apolipoprotein N-acyltransferase, partial [Acinetobacter baumannii]	null	NULL
ABO10836	MULTISPECIES: TusA-like sulfurtransferase [Acinetobacter]	TusA	UPF0033
ABO10837	electron transfer flavoprotein-ubiquinone oxidoreductase [Acinetobacter calcoaceticus]	FAD_binding_2	NULL
ABO11179	TetR family transcriptional regulator [Acinetobacter sp. 1179249]	TetR_N	HTH_TETR_2
ABO11181	darcynin [Acinetobacter calcoaceticus]	Darcynin	NULL
ABO11185	hypothetical protein [Acinetobacter baumannii]	null	TUBULIN;EF_HAND_1
ABO11191	sensor domain-containing diguanylate cyclase [Acinetobacter calcoaceticus]	GGDEF	GGDEF
ABO11192	NADH:ubiquinone oxidoreductase subunit 3 (chain A) [Acinetobacter baumannii]	Oxidored_q4	NULL
ABO10513	tyrosine recombinase [Acinetobacter baumannii]	Phage_integrase	NULL
ABO10514	MULTISPECIES: NADPH-dependent oxidoreductase [Acinetobacter calcoaceticus/baumannii complex]	FMN_red	NULL
ABO10515	MULTISPECIES: peptidylprolyl isomerase [Acinetobacter calcoaceticus/baumannii complex]	FKBP_C	FKBP_PPIASE
ABO10844	DNA gyrase inhibitor YacG [Acinetobacter sp. WC-141]	YacG	NULL
ABO10843	null	null	NULL
ABO10847	S-(hydroxymethyl)glutathione synthase [Acinetobacter baumannii]	GFA	NULL
ABO10849	HopJ type III effector protein [Acinetobacter baumannii]	HopJ	NULL
ABO10850	MULTISPECIES: 50S ribosomal protein L31 type B [Acinetobacter calcoaceticus/baumannii complex]	Ribosomal_L31	RIBOSOMAL_L31
ABO10859	long-chain-acyl-CoA synthetase [Acinetobacter baumannii]	AMP-binding	AMP_BINDING
ABO11206	cold-shock protein [Acinetobacter baumannii]	CSD	NULL
ABO11207	calcium-binding protein [Acinetobacter baumannii]	Excalibur	NULL
ABO11212	aminoacetone oxidase family FAD-binding enzyme [Acinetobacter baumannii]	HI0933_like	NULL
ABO10871	LysR family transcriptional regulator [Acinetobacter nosocomialis]	LysR_substrate	HTH_LYSR
ABO10873	MULTISPECIES: 3-isopropylmalate dehydratase small subunit [Acinetobacter calcoaceticus/baumannii complex]	Aconitase_C	NULL
ABO10874	hypothetical protein [Acinetobacter nosocomialis]	null	NULL
ABO10876	translation initiation factor IF-1 [Acinetobacter baumannii]	eIF-1a	S1_IF1_TYPE
ABO10882	aspartate-semialdehyde dehydrogenase [Acinetobacter baumannii]	Semialdhyde_dhC	ASD
ABO11563	NAD(P)/FAD-dependent oxidoreductase [Acinetobacter baumannii]	Pyr_redox_3	NULL
ABO11564	NAD(P)/FAD-dependent oxidoreductase [Acinetobacter baumannii]	null	NULL
ABO11565		Xan_ur_permease	NULL
